"numgainrex","codesolution","coderex","gainfinanciergainrex","codemonnaiegainrex","codeperiodeeconomie","energiegainrex","uniteenergiegainrex","codeperiodeenergie","gesgainrex","minigainrex","maxigainrex","moyengainrex","reelgainrex","trireelgainrex","trimingainrex","trimaxgainrex","codelicense"
"2552","97","1199","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2565","97","1312","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2884","97","183","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","10.0","NULL","3"
"2968","97","1441","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3148","97","1792","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","10.0","NULL","3"
"3357","97","1180","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3390","97","1283","NULL","1","1","13000.0","12","1","3400.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2294","103","1273","15529.0","3","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3077","103","1976","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2696","105","1488","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"13","108","34","14000.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","0.04","0.0","NULL","NULL","3"
"1209","108","1569","11031.0","3","3","2286.0","11","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"2202","108","866","100000.0","3","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","0.83","NULL","NULL","3"
"381","110","118","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","2.0","4.0","3"
"498","110","344","NULL","2","3","NULL","1","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1971","110","363","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"2386","110","1236","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"599","113","383","1100.0","2","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","4.8","NULL","NULL","3"
"729","113","97","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"402","120","123","9450.0","3","3","135.0","33","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"3804","120","1744","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1499","121","128","6806.0","3","3","3761.0","5","3","3.0","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"3648","121","543","1424000.0","7","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3651","121","545","18000000.0","7","3","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"3920","121","160","3019.0","3","3","77737.0","5","1","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"3084","127","91","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1713","128","662","NULL","1","1","NULL","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"812","136","472","45700.0","6","3","1752.0","12","3","750.0","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
"831","136","477","NULL","1","1","440.0","12","3","235.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3"
"1202","136","1567","1096.0","3","3","20516.0","5","3","NULL","NULL","NULL","NULL","NULL","0.0","NULL","NULL","3"
